birth,death,center_index,dimension
0.3813880140440772,0.7586519487886444,105,0
0.6800014034114329,0.7586519487886444,105,1
0.6089348596120759,0.610868980448068,106,0
0.6087288524064765,0.6186174536290773,106,0
0.3812881318995407,0.7586519487886444,106,0
0.6803430103439463,0.7586519487886444,106,1
0.6087341959189801,0.6105840076537257,107,0
0.6089520839062583,0.6186486748463899,107,0
0.38117819083264737,0.7586519487886444,107,0
0.6806828167098167,0.7586519487886444,107,1
0.6085414197234009,0.6103057690728686,108,0
0.6091832213206947,0.618690881071211,108,0
0.38105829068530805,0.7586519487886444,108,0
0.6810204901064756,0.7586519487886444,108,1
0.6083566867473311,0.6100345577584574,109,0
0.6094220728579459,0.6187456758137874,109,0
0.380928540439346,0.7586519487886444,109,0
0.6813557007088887,0.7586519487886444,109,1
0.6081801019322776,0.6097707281897328,110,0
0.6096682471723692,0.6188131288259899,110,0
0.3807890581423445,0.7586519487886444,110,0
0.6816881215805294,0.7586519487886444,110,1
0.6080117650415157,0.6095146323446601,111,0
0.6099216587158554,0.6188913778101682,111,0
0.3806399708269643,0.7586519487886444,111,0
0.6820174289797708,0.7586519487886444,111,1
0.6078517705322982,0.6092665744541963,112,0
0.6101821594115807,0.6189803414656585,112,0
0.3804814144236982,0.7586519487886444,112,0
0.6823433356395273,0.7586519487886444,112,1
0.6077002074320954,0.6090268823947872,113,0
0.6104492964295476,0.6190824865244875,113,0
0.3803135336670278,0.7586519487886444,113,0
0.6826655817740664,0.7586519487886444,113,1
0.6075571592190417,0.6087958739527932,114,0
0.6107230087009867,0.6191963291931177,114,0
0.3801349181982571,0.7586519487886444,114,0
0.6829837751217873,0.7586519487886444,114,1
0.607422673343022,0.6085738754114455,115,0
0.6110030509966774,0.6193205330251004,115,0
0.3799446266786332,0.7586519487886444,115,0
0.6832976075435035,0.7586519487886444,115,1
0.6072968209628036,0.6083611989319727,116,0
0.6112890101188958,0.6194549692527553,116,0
0.3797455809009221,0.7586519487886444,116,0
0.68360677554182,0.7586519487886444,116,1
0.6071796533662297,0.6081581195086408,117,0
0.6115808978762138,0.6195996250236459,117,0
0.3795379636849723,0.7586519487886444,117,0
0.6839110449132163,0.7586519487886444,117,1
0.6070712121250862,0.6079649777644114,118,0
0.6118780994208095,0.619758272353933,118,0
0.37932196602228924,0.7586519487886444,118,0
0.6842101630999764,0.7586519487886444,118,1
0.6069714967281491,0.6077820442449696,119,0
0.6121807314622528,0.6199266324490138,119,0
0.3790977869385988,0.7586519487886444,119,0
0.6845037459008901,0.7586519487886444,119,1
0.6068805469113662,0.6076096100958469,120,0
0.612488135489545,0.6201045313169193,120,0
0.3788656333495493,0.7586519487886444,120,0
0.6847915108884611,0.7586519487886444,120,1
0.6067983626304101,0.6074479615865761,121,0
0.6128003737968982,0.6202917852640251,121,0
0.3786257199095213,0.7586519487886444,121,0
0.6850733003883981,0.7586519487886444,121,1
0.6067249197602905,0.6072973848540931,122,0
0.6131169091448148,0.6204882011100408,122,0
0.3783782688535147,0.7586519487886444,122,0
0.6853488105549513,0.7586519487886444,122,1
0.606660194315067,0.6071581691099522,123,0
0.6134375834765511,0.6206935764133483,123,0
0.37812350983208554,0.7586519487886444,123,0
0.6856177004599093,0.7586519487886444,123,1
0.606604147965847,0.6070305840159416,124,0
0.6137621521243025,0.6209104869617288,124,0
0.37786167973930973,0.7586519487886444,124,0
0.6858797921734356,0.7586519487886444,124,1
0.6065567111568344,0.6069149101879369,125,0
0.6140900647065234,0.6211377618204087,125,0
0.3775930225337508,0.7586519487886444,125,0
0.6861349039193467,0.7586519487886444,125,1
0.6065177904794982,0.6068114378959483,126,0
0.6144212566138308,0.6213732054224766,126,0
0.37731778905241886,0.7586519487886444,126,0
0.6863826515104675,0.7586519487886444,126,1
0.6064872701003834,0.6067204688189725,127,0
0.6147553959654931,0.621616576266559,127,0
0.37703623681770515,0.7586519487886444,127,0
0.6866229090358822,0.7586519487886444,127,1
0.6064649769499848,0.6066423405903812,128,0
0.6150920449822902,0.6218676250119309,128,0
0.3767478581868856,0.7586519487886444,128,0
0.6868554760920325,0.7586519487886444,128,1
0.6064507024091752,0.6065773915240359,129,0
0.6154309155518863,0.622126094761893,129,0
0.37645191739808365,0.7586519487886444,129,0
0.6870799993136155,0.7586519487886444,129,1
0.6064441088244141,0.6065260627158925,130,0
0.6157717502208953,0.6223917213544028,130,0
0.376150596594654,0.7586519487886444,130,0
0.6872964708382413,0.7586519487886444,130,1
0.6064447420921344,0.606488935319241,131,0
0.6161142096471205,0.6226642336595251,131,0
0.375844180565843,0.7586519487886444,131,0
0.6875045427047788,0.7586519487886444,131,1
0.6064517561312966,0.6064669223937804,132,0
0.6164579534390838,0.6229433538832482,132,0
0.3755329596090243,0.7586519487886444,132,0
0.6877040383139778,0.7586519487886444,132,1
0.6168026405000293,0.6232287978772222,133,0
0.37521722929141627,0.7586519487886444,133,0
0.6878948933330223,0.7586519487886444,133,1
0.6171479293703567,0.6235202754539634,134,0
0.3748972902049054,0.7586519487886444,134,0
0.6880767298544206,0.7586519487886444,134,1
0.6174934785681375,0.623817490707077,135,0
0.3745734477140253,0.7586519487886444,135,0
0.6882496416683503,0.7586519487886444,135,1
0.6178389469273766,0.6241201423360415,136,0
0.3742460116971599,0.7586519487886444,136,0
0.6884132297402892,0.7586519487886444,136,1
0.6181839939336968,0.6244279239751074,137,0
0.37391529628104436,0.7586519487886444,137,0
0.6885675085998433,0.7586519487886444,137,1
0.6185282800571317,0.6247405245258595,138,0
0.3735816195686544,0.7586519487886444,138,0
0.6887122487653735,0.7586519487886444,138,1
0.6188714670817257,0.6250576284929977,139,0
0.37324530336058326,0.7586519487886444,139,0
0.6888473495440857,0.7586519487886444,139,1
0.6192132184316523,0.625378916322895,140,0
0.37290667287002355,0.7586519487886444,140,0
0.6889727121080815,0.7586519487886444,140,1
0.6195531994935708,0.6257040647444932,141,0
0.37256605643148266,0.7586519487886444,141,0
