t,curve_x,curve_y,focal_x,focal_y
-3.13584,-0.999983,-0.0103483,2.23989,-2.24516e-07
-3.13581,-0.999983,-0.0104049,2.23988,-2.53336e-07
-3.13578,-0.999983,-0.0104614,2.23989,-2.36035e-07
-3.13575,-0.999983,-0.010518,2.23988,-2.53568e-07
-3.13572,-0.999983,-0.0105745,2.23988,-2.59559e-07
-3.13569,-0.999983,-0.0106311,2.23988,-2.65633e-07
-3.13566,-0.999982,-0.0106876,2.23989,-2.48065e-07
-3.13562,-0.999982,-0.0107442,2.23988,-2.54163e-07
-3.13559,-0.999982,-0.0108007,2.23988,-2.7233e-07
-3.13556,-0.999982,-0.0108573,2.23988,-2.78642e-07
-3.13553,-0.999982,-0.0109138,2.23987,-2.85041e-07
-3.1355,-0.999981,-0.0109704,2.23988,-2.79317e-07
-3.13547,-0.999981,-0.0110269,2.23987,-2.85806e-07
-3.13544,-0.999981,-0.0110835,2.23988,-2.80067e-07
-3.1354,-0.999981,-0.01114,2.23987,-2.99005e-07
-3.13537,-0.999981,-0.0111966,2.23987,-2.93294e-07
-3.13534,-0.99998,-0.0112531,2.23987,-3.12533e-07
-3.13531,-0.99998,-0.0113097,2.23987,-3.06854e-07
-3.13528,-0.99998,-0.0113662,2.23986,-3.26356e-07
-3.13525,-0.99998,-0.0114228,2.23987,-3.08036e-07
-3.13522,-0.99998,-0.0114793,2.23986,-3.40513e-07
-3.13518,-0.999979,-0.0115358,2.23986,-3.22104e-07
-3.13515,-0.999979,-0.0115924,2.23986,-3.29251e-07
-3.13512,-0.999979,-0.0116489,2.23986,-3.36487e-07
-3.13509,-0.999979,-0.0117055,2.23986,-3.43797e-07
-3.13506,-0.999979,-0.011762,2.23986,-3.51197e-07
-3.13503,-0.999978,-0.0118186,2.23985,-3.58686e-07
-3.135,-0.999978,-0.0118751,2.23985,-3.66249e-07
-3.13496,-0.999978,-0.0119317,2.23985,-3.60648e-07
-3.13493,-0.999978,-0.0119882,2.23985,-3.55014e-07
-3.1349,-0.999978,-0.0120448,2.23985,-3.62708e-07
-3.13487,-0.999977,-0.0121013,2.23985,-3.83921e-07
-3.13484,-0.999977,-0.0121579,2.23985,-3.78357e-07
-3.13481,-0.999977,-0.0122144,2.23985,-3.86309e-07
-3.13478,-0.999977,-0.012271,2.23984,-3.9434e-07
-3.13474,-0.999977,-0.0123275,2.23985,-3.88767e-07
-3.13471,-0.999976,-0.0123841,2.23984,-4.1066e-07
-3.13468,-0.999976,-0.0124406,2.23984,-4.05152e-07
-3.13465,-0.999976,-0.0124972,2.23984,-4.13477e-07
-3.13462,-0.999976,-0.0125537,2.23984,-4.21882e-07
-3.13459,-0.999975,-0.0126102,2.23984,-4.16388e-07
-3.13456,-0.999975,-0.0126668,2.23984,-4.10847e-07
-3.13452,-0.999975,-0.0127233,2.23983,-4.33528e-07
-3.13449,-0.999975,-0.0127799,2.23983,-4.56412e-07
-3.13446,-0.999975,-0.0128364,2.23983,-4.51015e-07
-3.13443,-0.999974,-0.012893,2.23983,-4.45593e-07
-3.1344,-0.999974,-0.0129495,2.23982,-4.68875e-07
-3.13437,-0.999974,-0.0130061,2.23983,-4.63505e-07
-3.13434,-0.999974,-0.0130626,2.23982,-4.87112e-07
-3.1343,-0.999973,-0.0131192,2.23982,-4.81792e-07
-3.13427,-0.999973,-0.0131757,2.23982,-4.76445e-07
-3.13424,-0.999973,-0.0132323,2.23982,-5.00436e-07
-3.13421,-0.999973,-0.0132888,2.23982,-4.95167e-07
-3.13418,-0.999973,-0.0133454,2.23981,-5.19463e-07
-3.13415,-0.999972,-0.0134019,2.23981,-5.14249e-07
-3.13412,-0.999972,-0.0134585,2.23981,-5.08991e-07
-3.13408,-0.999972,-0.013515,2.23981,-5.33714e-07
-3.13405,-0.999972,-0.0135716,2.23981,-5.43594e-07
-3.13402,-0.999971,-0.0136281,2.23981,-5.38431e-07
-3.13399,-0.999971,-0.0136846,2.23981,-5.33249e-07
-3.13396,-0.999971,-0.0137412,2.23981,-5.43287e-07
-3.13393,-0.999971,-0.0137977,2.2398,-5.5343e-07
-3.1339,-0.99997,-0.0138543,2.2398,-5.63656e-07
-3.13386,-0.99997,-0.0139108,2.2398,-5.73987e-07
-3.13383,-0.99997,-0.0139674,2.2398,-5.68906e-07
-3.1338,-0.99997,-0.0140239,2.23979,-5.94939e-07
-3.13377,-0.999969,-0.0140805,2.2398,-5.89942e-07
-3.13374,-0.999969,-0.014137,2.2398,-5.84909e-07
-3.13371,-0.999969,-0.0141936,2.23979,-6.2713e-07
-3.13368,-0.999969,-0.0142501,2.23978,-6.38049e-07
-3.13364,-0.999968,-0.0143067,2.23979,-6.17313e-07
-3.13361,-0.999968,-0.0143632,2.23978,-6.44256e-07
-3.13358,-0.999968,-0.0144198,2.23978,-6.39419e-07
-3.13355,-0.999968,-0.0144763,2.23978,-6.50621e-07
-3.13352,-0.999967,-0.0145328,2.23978,-6.45791e-07
-3.13349,-0.999967,-0.0145894,2.23978,-6.40943e-07
-3.13346,-0.999967,-0.0146459,2.23978,-6.68595e-07
-3.13342,-0.999967,-0.0147025,2.23977,-6.9646e-07
-3.13339,-0.999966,-0.014759,2.23978,-6.75415e-07
-3.13336,-0.999966,-0.0148156,2.23977,-7.03567e-07
-3.13333,-0.999966,-0.0148721,2.23977,-7.15426e-07
-3.1333,-0.999966,-0.0149287,2.23977,-7.1082e-07
-3.13327,-0.999965,-0.0149852,2.23977,-7.22839e-07
-3.13324,-0.999965,-0.0150418,2.23977,-7.18264e-07
-3.1332,-0.999965,-0.0150983,2.23977,-7.13656e-07
-3.13317,-0.999965,-0.0151549,2.23977,-7.2586e-07
-3.13314,-0.999964,-0.0152114,2.23976,-7.55058e-07
-3.13311,-0.999964,-0.015268,2.23976,-7.50596e-07
-3.13308,-0.999964,-0.0153245,2.23975,-7.80146e-07
-3.13305,-0.999963,-0.0153811,2.23975,-7.92823e-07
-3.13302,-0.999963,-0.0154376,2.23975,-8.0564e-07
-3.13298,-0.999963,-0.0154941,2.23976,-7.66961e-07
-3.13295,-0.999963,-0.0155507,2.23975,-7.79792e-07
-3.13292,-0.999962,-0.0156072,2.23975,-7.92744e-07
-3.13289,-0.999962,-0.0156638,2.23975,-7.88406e-07
-3.13286,-0.999962,-0.0157203,2.23974,-8.36406e-07
-3.13283,-0.999962,-0.0157769,2.23974,-8.49762e-07
-3.1328,-0.999961,-0.0158334,2.23974,-8.45628e-07
-3.13276,-0.999961,-0.01589,2.23974,-8.59129e-07
-3.13273,-0.999961,-0.0159465,2.23974,-8.55038e-07
-3.1327,-0.99996,-0.0160031,2.23973,-8.86475e-07
-3.13267,-0.99996,-0.0160596,2.23973,-8.82474e-07
-3.13264,-0.99996,-0.0161162,2.23973,-8.96359e-07
-3.13261,-0.99996,-0.0161727,2.23973,-9.1037e-07
-3.13258,-0.999959,-0.0162292,2.23973,-9.06473e-07
-3.13254,-0.999959,-0.0162858,2.23973,-9.02564e-07
-3.13251,-0.999959,-0.0163423,2.23973,-9.16777e-07
-3.13248,-0.999958,-0.0163989,2.23972,-9.31123e-07
-3.13245,-0.999958,-0.0164554,2.23972,-9.45568e-07
-3.13242,-0.999958,-0.016512,2.23972,-9.60131e-07
-3.13239,-0.999958,-0.0165685,2.23972,-9.56428e-07
-3.13236,-0.999957,-0.0166251,2.23971,-9.89622e-07
-3.13232,-0.999957,-0.0166816,2.23971,-9.86012e-07
-3.13229,-0.999957,-0.0167382,2.23971,-1.00098e-06
-3.13226,-0.999956,-0.0167947,2.23971,-1.01608e-06
-3.13223,-0.999956,-0.0168513,2.23971,-1.01258e-06
-3.1322,-0.999956,-0.0169078,2.2397,-1.02785e-06
-3.13217,-0.999956,-0.0169643,2.2397,-1.04323e-06
-3.13214,-0.999955,-0.0170209,2.2397,-1.05873e-06
-3.13211,-0.999955,-0.0170774,2.2397,-1.07436e-06
-3.13207,-0.999955,-0.017134,2.2397,-1.07108e-06
-3.13204,-0.999954,-0.0171905,2.2397,-1.0678e-06
-3.13201,-0.999954,-0.0172471,2.23969,-1.10281e-06
-3.13198,-0.999954,-0.0173036,2.23969,-1.09965e-06
-3.13195,-0.999953,-0.0173602,2.23969,-1.11576e-06
-3.13192,-0.999953,-0.0174167,2.23968,-1.13199e-06
-3.13189,-0.999953,-0.0174733,2.23968,-1.14834e-06
-3.13185,-0.999953,-0.0175298,2.23968,-1.14536e-06
-3.13182,-0.999952,-0.0175864,2.23968,-1.14236e-06
-3.13179,-0.999952,-0.0176429,2.23968,-1.15895e-06
-3.13176,-0.999952,-0.0176994,2.23968,-1.15603e-06
-3.13173,-0.999951,-0.017756,2.23967,-1.19253e-06
-3.1317,-0.999951,-0.0178125,2.23967,-1.18972e-06
-3.13167,-0.999951,-0.0178691,2.23967,-1.20676e-06
-3.13163,-0.99995,-0.0179256,2.23967,-1.22392e-06
-3.1316,-0.99995,-0.0179822,2.23966,-1.24121e-06
-3.13157,-0.99995,-0.0180387,2.23966,-1.25861e-06
-3.13154,-0.999949,-0.0180953,2.23966,-1.25607e-06
-3.13151,-0.999949,-0.0181518,2.23966,-1.25352e-06
-3.13148,-0.999949,-0.0182084,2.23966,-1.29141e-06
-3.13145,-0.999949,-0.0182649,2.23965,-1.30926e-06
-3.13141,-0.999948,-0.0183215,2.23965,-1.32727e-06
-3.13138,-0.999948,-0.018378,2.23965,-1.32496e-06
-3.13135,-0.999948,-0.0184345,2.23965,-1.34316e-06
-3.13132,-0.999947,-0.0184911,2.23964,-1.36148e-06
